,Nom_Barri,Nom_Districte,Latitud,Longitud,Nom_Local
38057,la Prosperitat,Nou Barris,41.446045845,2.186302096,ESCOLA BRESSOL COLOMETA
38427,Sant Antoni,Eixample,41.377192985,2.157766074,ESCOLA D'EDUCACIO MATERNAL INFANTIL BETLEM
38636,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.38820835,2.178175002,ESCOLA BRESSOL PUIGMAL
38821,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.384740024,2.181334645,LLAR D'INFANTS BRESSOL DEL NEN JESUS
38963,el Putxet i el Farró,Sarrià-Sant Gervasi,41.405444601,2.149258107,ESCOLA INFANTIL RIALLES
39045,el Carmel,Horta-Guinardó,41.417327309,2.151944294,ESCOLA BRESSOL EL GAT NEGRE
39297,Sants,Sants-Montjuïc,41.376568999,2.140265,ESCOLA BRESSOL PAU
40227,la Sagrada Família,Eixample,41.401729731,2.171741724,ESCOLA BRESSOL LA FASSINA
40456,Navas,Sant Andreu,41.417198404,2.18471691,ESCOLA BRESSOL ELS PATUFETS DE NAVAS
40534,Sant Genís dels Agudells,Horta-Guinardó,41.427015413,2.135843039,CENTRE D'EDUCACIO INFANTIL WALDORF STEINER
40537,Sant Genís dels Agudells,Horta-Guinardó,41.4261818,2.13552922,ESCOLA BRESSOL SANT GENÍS
40559,Sant Andreu,Sant Andreu,41.42937944,2.189479172,LLAR D'INFANTS PETIT LAIA
40701,el Turó de la Peira,Nou Barris,41.433978536,2.171541899,CENTRE INFANTIL NILO
40730,la Bordeta,Sants-Montjuïc,41.372281908,2.139160931,ESCOLA BRESSOL L'ESQUIROL
40763,la Vila de Gràcia,Gràcia,41.4069152,2.155841589,LLAR D'INFANTS REGINA
40948,la Marina de Port,Sants-Montjuïc,41.355979103,2.145199925,ESCOLA BRESSOL COLLSEROLA
41146,les Corts,Les Corts,41.387310849,2.134591788,LLAR D'INFANTS EL CAMI FELIÇ
41469,el Raval,Ciutat Vella,41.376154444,2.171681374,ESCOLA BRESSOL CADI
41581,la Bordeta,Sants-Montjuïc,41.371431489,2.137296796,ESCOLA BRESSOL GUINBO
42605,el Carmel,Horta-Guinardó,41.426268279,2.151798159,ESCOLA BRESSOL XARLOT
42715,Sant Andreu,Sant Andreu,41.432169671,2.189991947,ESCOLA BRESSOL LA FILADORA
43732,el Turó de la Peira,Nou Barris,41.431492008,2.171097994,CASAL INFANTIL TURÓ DE LA PEIRA
43849,el Besòs i el Maresme,Sant Martí,41.419590946,2.214427739,LLAR D'INFANTS CASCAVELL
43856,Provençals del Poblenou,Sant Martí,41.409387582,2.196962535,ESCOLA BRESSOL EL BRESSOL DEL POBLE NOU
43886,Provençals del Poblenou,Sant Martí,41.414179188,2.203410566,ESCOLA BRESSOL DOLORS CANALS
44264,el Poblenou,Sant Martí,41.402288031,2.207444608,LLAR D'INFANTS CUCHI CUCHI
44404,Sarrià,Sarrià-Sant Gervasi,41.40680556,2.120571882,ESCOLA BRESSOL MARIA RAVENTOS
44741,la Sagrera,Sant Andreu,41.427447802,2.187474221,ESCOLA BRESSOL EL PARC DE LA PEGASO
44927,les Corts,Les Corts,41.388579622,2.137688398,LLAR D'INFANTS PARE MANYANET
44993,la Verneda i la Pau,Sant Martí,41.424206826,2.201677859,ESCOLA BRESSOL EL GRONXADOR
45377,les Roquetes,Nou Barris,41.448154855,2.178728878,ESCOLA BRESSOL PLA DE FORNELLS
45795,la Sagrada Família,Eixample,41.402402709,2.171489596,LLAR D'INFANTS ESCOLA MARILLAC
45904,la Sagrada Família,Eixample,41.408094069,2.179156691,ESCOLA INFANTIL PANDY DE SANT MARC
46045,el Camp d'en Grassot i Gràcia Nova,Gràcia,41.409371489,2.161684781,LLAR D'INFANTS TABALET
46085,la Vila de Gràcia,Gràcia,41.40615174,2.15612188,ESCOLA INFANTIL PAM I PIPA
46233,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.388267562,2.180709238,ESCOLA BRESSOL PORTAL NOU
46900,Baró de Viver,Sant Andreu,41.446039814,2.199937105,ESCOLA BRESSOL EL CAMINET DEL BESOS
47340,Horta,Horta-Guinardó,41.434417917,2.160106301,ESCOLA BRESSOL LLAR D'INFANTS HORTA-GUINARDÓ
47905,la Font d'en Fargues,Horta-Guinardó,41.427100886,2.167129666,ESCOLA BRESSOL EL CARGOL
48373,Porta,Nou Barris,41.433299853,2.180072665,ESCOLA BRESSOL CAN DRAGO
48652,Sants,Sants-Montjuïc,41.382805659,2.140458956,ESCOLA BRESSOL EL FIL
49371,la Nova Esquerra de l'Eixample,Eixample,41.384108119,2.152263522,ESCOLA BRESSOL L'ARBRET DE L'EIXAMPLE
50405,la Sagrera,Sant Andreu,41.424804151,2.190927565,ESCOLA BRESSOL XALESTA
50494,Sants,Sants-Montjuïc,41.373482539,2.136167586,CUC LLAR D'INFANTS
50624,el Raval,Ciutat Vella,41.378690387,2.164507806,CFGS ECNIC SUPERIOR EN EDUCACIO INFANTIL ESCOLA PIA SANT ANTONI
51585,el Camp de l'Arpa del Clot,Sant Martí,41.416200731,2.181617618,ESCOLA BRESSOL CAMP DE L'ARPA
52020,la Font de la Guatlla,Sants-Montjuïc,41.370998999,2.145562,ACUARELA LLAR D'INFANTS
53663,Sarrià,Sarrià-Sant Gervasi,41.39743921,2.123956829,ESCOLA BRESSOL BLAUET
54281,el Raval,Ciutat Vella,41.377307706,2.168692052,ESCOLA BRESSOL MONT TABER
54395,Horta,Horta-Guinardó,41.428634343,2.158384323,LLAR D'INFANTS SONNYEC
54487,la Vila de Gràcia,Gràcia,41.403372455,2.152846097,ESCOLA BRESSOL SANT MEDIR
55310,Sant Andreu,Sant Andreu,41.43139347,2.194533795,LLAR D'INFANTS XICOI
55315,el Poble Sec,Sants-Montjuïc,41.370989669,2.155244797,ESCOLA BRESSOL FORESTIER
55354,Sant Martí de Provençals,Sant Martí,41.416541671,2.19863221,ESCOLA BRESSOL ESQUITX
55971,el Carmel,Horta-Guinardó,41.42449845,2.154787481,ESCOLA BRESSOL ALBI
56544,Sant Antoni,Eixample,41.380111277,2.162725478,BAMBI ESCOLA INFANTIL
56550,el Poble Sec,Sants-Montjuïc,41.374290663,2.155392319,ESCOLA D'EDUCACIO INFANTIL JESUS MARIA
56571,el Poblenou,Sant Martí,41.404766625,2.195636183,ACTIVITATS INFANTILS CENTPEUS
56677,les Corts,Les Corts,41.39024881,2.139860988,LLAR D'INFANTS CASCABELL
57147,el Guinardó,Horta-Guinardó,41.419486649,2.179281597,ESCOLA BRESSOL GUINARDO
57174,Verdun,Nou Barris,41.442803787,2.176389992,EL TREN GROC LLAR D'INFANTS
57488,Sant Andreu,Sant Andreu,41.438325962,2.190867215,LLAR D'INFANTS ORFILA
57990,la Verneda i la Pau,Sant Martí,41.426874634,2.20681563,LLAR D'INFANTS EL VUIT
58336,la Maternitat i Sant Ramon,Les Corts,41.379327377,2.123857588,ESCOLA BRESSOL CAN BACARDI
58459,la Salut,Gràcia,41.410861622,2.157597326,ESCOLA BRESSOL ESCORIAL
58738,el Baix Guinardó,Horta-Guinardó,41.407823494,2.168382257,LLAR D'INFANTS L'HEURA
59076,Provençals del Poblenou,Sant Martí,41.406737161,2.193120271,ESCOLA INFANTIL MAFALDA
59674,la Nova Esquerra de l'Eixample,Eixample,41.386941582,2.151913494,ESCOLA BRESSOL EL ROURE
60098,l'Antiga Esquerra de l'Eixample,Eixample,41.389521375,2.159289569,LLAR D'INFANTS NINETS
60456,la Sagrada Família,Eixample,41.40479479,2.179643512,LLAR D'INFANTS GRANOTA
60666,el Clot,Sant Martí,41.413895565,2.192126513,LLAR D'INFANTS SERRALADA
60965,Horta,Horta-Guinardó,41.437160711,2.156057507,ESCOLA BRESSOL VALLDAURA
61250,les Corts,Les Corts,41.383731791,2.134048641,ESCOLA BRESSOL DRACS
61283,les Corts,Les Corts,41.385432295,2.134032547,ESCOLA BRESSOL BAMBI
61332,Sants,Sants-Montjuïc,41.380656682,2.136126012,LLAR D'INFANTS ESCOLA DEL CARME
61615,el Poblenou,Sant Martí,41.40127504,2.20197022,LLAR D'INFANTS L'OCELL DE PAPER
62834,Hostafrancs,Sants-Montjuïc,41.3744859,2.142913342,EL CAU ESCOLA BRESSOL
63849,Navas,Sant Andreu,41.415050169,2.18965888,CENTRE INFANTIL PETIT TRESOR
64033,el Poblenou,Sant Martí,41.398714828,2.203839719,LLAR D'INFANTS ELS XUMETS DE LA VIBRIA
64112,Sants,Sants-Montjuïc,41.381063216,2.138399184,ESCOLA BRESSOL MUNICIPAL EL TIMBAL
