,geometry,scoring
49,POINT (2.151171167288308 41.383214365636874),9.019607843137255
50,POINT (2.151171167288308 41.392668057393514),11.176470588235293
51,POINT (2.151171167288308 41.402121749150155),9.117647058823529
52,POINT (2.151171167288308 41.41157544090679),10.294117647058824
53,POINT (2.151171167288308 41.42102913266343),10.686274509803923
54,POINT (2.151171167288308 41.43048282442007),8.92156862745098
55,POINT (2.151171167288308 41.4399365161767),3.7254901960784315
56,POINT (2.162153142804875 41.33594590685369),0.0
57,POINT (2.162153142804875 41.35485329036696),2.2549019607843137
58,POINT (2.162153142804875 41.3643069821236),3.7254901960784315
59,POINT (2.162153142804875 41.37376067388024),10.0
60,POINT (2.162153142804875 41.383214365636874),13.03921568627451
61,POINT (2.162153142804875 41.392668057393514),12.647058823529411
62,POINT (2.162153142804875 41.402121749150155),8.627450980392156
63,POINT (2.162153142804875 41.41157544090679),9.901960784313726
64,POINT (2.162153142804875 41.42102913266343),10.588235294117649
65,POINT (2.162153142804875 41.43048282442007),8.529411764705882
66,POINT (2.162153142804875 41.4399365161767),6.764705882352941
67,POINT (2.162153142804875 41.44939020793334),1.1764705882352942
68,POINT (2.173135118321442 41.34539959861033),0.19607843137254902
69,POINT (2.173135118321442 41.3643069821236),1.2745098039215688
70,POINT (2.173135118321442 41.37376067388024),7.9411764705882355
71,POINT (2.173135118321442 41.383214365636874),11.274509803921568
72,POINT (2.173135118321442 41.392668057393514),15.0
73,POINT (2.173135118321442 41.402121749150155),9.313725490196079
74,POINT (2.173135118321442 41.41157544090679),8.23529411764706
75,POINT (2.173135118321442 41.42102913266343),9.901960784313726
76,POINT (2.173135118321442 41.43048282442007),9.411764705882353
77,POINT (2.173135118321442 41.4399365161767),8.725490196078432
78,POINT (2.173135118321442 41.44939020793334),7.647058823529411
79,POINT (2.173135118321442 41.458843899689974),9.803921568627452
80,POINT (2.184117093838009 41.383214365636874),6.764705882352941
81,POINT (2.184117093838009 41.392668057393514),9.803921568627452
82,POINT (2.184117093838009 41.402121749150155),9.019607843137255
83,POINT (2.184117093838009 41.41157544090679),8.725490196078432
84,POINT (2.184117093838009 41.42102913266343),10.490196078431373
85,POINT (2.184117093838009 41.43048282442007),6.372549019607843
86,POINT (2.184117093838009 41.4399365161767),7.843137254901961
87,POINT (2.184117093838009 41.44939020793334),9.607843137254902
88,POINT (2.184117093838009 41.458843899689974),9.019607843137255
89,POINT (2.195099069354576 41.383214365636874),4.411764705882353
90,POINT (2.195099069354576 41.392668057393514),7.450980392156863
91,POINT (2.195099069354576 41.402121749150155),8.627450980392156
92,POINT (2.195099069354576 41.41157544090679),8.627450980392156
93,POINT (2.195099069354576 41.42102913266343),6.470588235294118
94,POINT (2.195099069354576 41.43048282442007),4.901960784313726
95,POINT (2.195099069354576 41.4399365161767),7.745098039215687
96,POINT (2.195099069354576 41.44939020793334),6.568627450980392
97,POINT (2.206081044871143 41.392668057393514),2.8431372549019605
98,POINT (2.206081044871143 41.402121749150155),7.450980392156863
99,POINT (2.206081044871143 41.41157544090679),7.843137254901961
100,POINT (2.206081044871143 41.42102913266343),6.470588235294118
101,POINT (2.206081044871143 41.43048282442007),3.7254901960784315
102,POINT (2.206081044871143 41.4399365161767),4.6078431372549025
103,POINT (2.21706302038771 41.41157544090679),6.470588235294118
