geometry,avg_rent,index
POINT (239467.27895170636 5066226.278152513),15108.05,47
POINT (239467.27895170636 5067628.57596052),20410.51,48
POINT (239467.27895170636 5069031.077580827),24556.57,49
POINT (239467.27895170636 5070433.783110889),28858.44,50
POINT (239467.27895170636 5071836.692648201),26383.64,51
POINT (239467.27895170636 5073239.806290317),24158.16,52
POINT (239467.27895170636 5074643.124134847),17100.88,53
POINT (239467.27895170636 5076046.646279452),19861.48,54
POINT (239467.27895170636 5077450.372821846),20975.48,55
POINT (240689.7868741148 5062020.606628657),14750.75,56
POINT (240689.7868741148 5064824.184059418),15846.66,57
POINT (240689.7868741148 5066226.278152513),16942.56,58
POINT (240689.7868741148 5067628.57596052),17436.4,59
POINT (240689.7868741148 5069031.077580827),20894.0,60
POINT (240689.7868741148 5070433.783110889),28009.63,61
POINT (240689.7868741148 5071836.692648201),24025.42,62
POINT (240689.7868741148 5073239.806290317),22948.81,63
POINT (240689.7868741148 5074643.124134847),19056.97,64
POINT (240689.7868741148 5076046.646279452),19561.55,65
POINT (240689.7868741148 5077450.372821846),18868.91,66
POINT (240689.7868741148 5078854.303859797),14748.9,67
POINT (241912.2947965232 5063422.293583896),14750.75,68
POINT (241912.2947965232 5066226.278152513),15846.66,69
POINT (241912.2947965232 5067628.57596052),15035.84,70
POINT (241912.2947965232 5069031.077580827),15929.24,71
POINT (241912.2947965232 5070433.783110889),25356.03,72
POINT (241912.2947965232 5071836.692648201),23382.26,73
POINT (241912.2947965232 5073239.806290317),21877.68,74
POINT (241912.2947965232 5074643.124134847),20976.61,75
POINT (241912.2947965232 5076046.646279452),18114.2,76
POINT (241912.2947965232 5077450.372821846),16486.37,77
POINT (241912.2947965232 5078854.303859797),13305.35,78
POINT (241912.2947965232 5080258.439491132),11238.3,79
POINT (243134.8027189317 5069031.077580827),17209.7,80
POINT (243134.8027189317 5070433.783110889),22669.43,81
POINT (243134.8027189317 5071836.692648201),21581.01,82
POINT (243134.8027189317 5073239.806290317),21031.11,83
POINT (243134.8027189317 5074643.124134847),20220.45,84
POINT (243134.8027189317 5076046.646279452),20046.42,85
POINT (243134.8027189317 5077450.372821846),18005.75,86
POINT (243134.8027189317 5078854.303859797),14141.81,87
POINT (243134.8027189317 5080258.439491132),12165.94,88
POINT (244357.31064134013 5069031.077580827),19461.24,89
POINT (244357.31064134013 5070433.783110889),24304.59,90
POINT (244357.31064134013 5071836.692648201),22462.39,91
POINT (244357.31064134013 5073239.806290317),20538.67,92
POINT (244357.31064134013 5074643.124134847),19281.77,93
POINT (244357.31064134013 5076046.646279452),21170.25,94
POINT (244357.31064134013 5077450.372821846),20305.23,95
POINT (244357.31064134013 5078854.303859797),14639.8,96
POINT (245579.81856374853 5070433.783110889),24952.36,97
POINT (245579.81856374853 5071836.692648201),22658.62,98
POINT (245579.81856374853 5073239.806290317),19594.18,99
POINT (245579.81856374853 5074643.124134847),17195.38,100
POINT (245579.81856374853 5076046.646279452),13630.48,101
POINT (245579.81856374853 5077450.372821846),16106.76,102
POINT (246802.326486157 5073239.806290317),16964.52,103
