latitud,longitud,addresses_roadtype_id,addresses_roadtype_name,addresses_road_name,addresses_road_id
41.40774734930597,2.1425177258809422,,,C Manacor,191408
41.410819046980855,2.14255769920195,,,C Portolà,263804
41.43250966110126,2.142646475130079,,,C Poesia,260806
41.35940601819005,2.1428221080393035,,,C Mare de Déu de Port,230601
41.407464947326254,2.1430348062786257,,,C Manacor,191408
41.3564820545708,2.143159808741492,,,Pg Zona Franca,369408
41.40554846163865,2.14340824232278,,,Rda General Mitre,143904
41.41123159253481,2.143988466465584,,,Av República Argentina,279600
41.41277639924962,2.144192188013562,,,Viaducte de Vallcarca,358300
41.40190748902283,2.1445309541605844,,,Carrer de Brusi,50202
41.41052351533626,2.1446039272005524,,,Costa,95608
41.4116593851312,2.144758244840197,,,Av República Argentina,279600
41.35939523618376,2.144808762527653,,,Foc,135203
41.39098475931237,2.145255205929556,,,Buenos Aires,51205
