,geometry,num_zonas_verdes,puntuacion
92,POINT (2.195099069354576 41.41157544090679),5,3.5714285714285716
93,POINT (2.195099069354576 41.42102913266343),1,0.7142857142857142
94,POINT (2.195099069354576 41.43048282442007),5,3.5714285714285716
95,POINT (2.195099069354576 41.4399365161767),5,3.5714285714285716
96,POINT (2.195099069354576 41.44939020793334),2,1.4285714285714284
97,POINT (2.206081044871143 41.39266805739351),2,1.4285714285714284
98,POINT (2.206081044871143 41.40212174915015),9,6.428571428571429
99,POINT (2.206081044871143 41.41157544090679),2,1.4285714285714284
100,POINT (2.206081044871143 41.42102913266343),1,0.7142857142857142
101,POINT (2.206081044871143 41.43048282442007),0,0.0
102,POINT (2.206081044871143 41.4399365161767),0,0.0
103,POINT (2.21706302038771 41.41157544090679),3,2.142857142857143
